"Title","Date","Affiliations","Description","Response","Victims","Sponsor","Type","Category","Response_type","link","state_victim","state_cat","date_orig","Year"
"Large-scale attacks against Georgia",2019-10-28,"Sandworm","Russian group Sandworm carried out large-scale cyberattacks against targets in Georgia.",NA,"Georgian government, courts, nongovernmental organizations, media, and businesses","Russian Federation","Sabotage","Government","   ","   ",TRUE,"Super Power","2019-10-28",2019
"Targeting of U.S. utility companies",2019-08-01,"Unnamed state-sponsored APT","Between July 19 and July 25, 2019, a threat actor sent several spear-phishing emails to three U.S. companies in the utility sector. The emails were sent from a domain impersonating that of the National Council of Examiners for Engineering and Surveying, an authority in the industry. The emails contained Microsoft Word attachments that used macros to install and run a new remote-access Trojan (RAT) called LookBack.",NA,"United States",NA,"Espionage","Private sector","   ","   ",FALSE,"NA","2019-08-01",2019
"Golden Falcon",2019-11-23,"Also known as DustSquad, Russian-speaking but may be Kazakh.","Threat actor that has targeted Kazakh government officials and private individuals, along with some Chinese individuals.",NA,NA,NA,NA,NA,"   ","   ",FALSE,"NA","2019-11-23",2019
"Targeting of Visma",2019-02-06,"Believed to be the work of APT 10.","Hackers used malware from the dark web to target a Norwegian internet service provider. The goal of the attack was to gain access to customers’ intellectual property, strategic plans, and emails.",NA,"Visma","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-02-06",2019
"Autumn Aperture—malware embedded in antiquated file types",2019-09-11,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted U.S.-based entities by emailing them malware-laced Microsoft Word documents written by industry experts. The trojanized documents discussed nuclear deterrence, North Korea's nuclear submarine program, and economic sanctions on the North Korean regime. This incident is believed to be an extension of the August Autumn Aperture campaign.",NA,"Unnamed U.S.-based entities","Korea (Democratic People's Republic of)",NA,"Private sector","   ","   ",FALSE,"Middle Power","2019-09-11",2019
"Targeting of industrial control systems",2019-11-23,"APT 33","Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",NA,"Industrial control systems manufacturers, suppliers, and maintainers","Iran (Islamic Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2019-11-23",2019
"Compromise of Yandex",2019-06-27,"Five Eyes","This threat actor deployed Regin, a rare type of malware, in an attempt to spy on user accounts for Yandex, a Russian search engine and email provider.","Confirmation   https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX","Yandex","United States, Australia, Canada, New Zealand, United Kingdom","Espionage","Private sector","Confirmation ","https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX  ",FALSE,"Super Power","2019-06-27",2019
"Targeting of telecommunications operators in countries through which Uighurs are known to travel",2019-09-05,"Believed to be the work of Chinese state-sponsored hackers.","Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.",NA,NA,"China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-09-05",2019
"Targeting of Japanese organizations",2019-10-02,"APT 17 and Bronze Butler","Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.",NA,"Japanese organizations","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-10-02",2019
"Targeting of Internet of Things (IoT) devices used by Microsoft customers",2019-08-05,"Believed to be the work of Strontium, also known as APT 28 and Fancy Bear.","The threat actor exploited office devices’ weak, outdated security to access the networks of several Microsoft customers and infiltrate accounts with more privileges.",NA,NA,"Russian Federation",NA,"Private sector","   ","   ",FALSE,"Super Power","2019-08-05",2019
"Targeting of Ukrainian government entities",2019-11-25,"Gamaredon","Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",NA,NA,NA,"Espionage",NA,"   ","   ",FALSE,"NA","2019-11-25",2019
"U.S. Cyber Command offensive attack of Russian troll farm",2019-02-27,"U.S. Cyber Command","In November 2018, the U.S. Cyber Command launched an offensive campaign to combat a Russian troll operation known for using disinformation tactics.",NA,"Russia","United States","Denial of service","Government","   ","   ",TRUE,"Super Power","2019-02-27",2019
"Targeting of Middle Eastern oil companies",2019-12-04,"APT 34","Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",NA,"Oil companies in the Middle East","Iran (Islamic Republic of)","Data destruction","Private sector","   ","   ",FALSE,"Middle Power","2019-12-04",2019
"Attacks on private U.S. companies",2019-06-22,"Iran","This threat actor increased malicious activity targeting U.S. companies following a U.S. attack on Iranian computer systems.","Confirmation   https://www.dhs.gov/cisa/news/2019/06/22/cisa-statement-iranian-cybersecurity-threats","U.S. private sector","Iran (Islamic Republic of)","Data destruction","Private sector","Confirmation ","https://www.dhs.gov/cisa/news/2019/06/22/cisa-statement-iranian-cybersecurity-threats  ",FALSE,"Middle Power","2019-06-22",2019
"Targeting of the Cambodian government",2019-12-07,"Rancor","The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.",NA,"Cambodian government","China","Espionage","Government","   ","   ",TRUE,"Super Power","2019-12-07",2019
"PKplug",2019-10-03,"China","A Chinese-linked threat actor group active in Southeast Asia",NA,NA,"China",NA,NA,"   ","   ",FALSE,"Super Power","2019-10-03",2019
"APT 41",2019-08-07,NA,"This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.",NA,"United States, France, Japan, Singapore, United Kingdom, Hong Kong","China","Espionage","Government","   ","   ",TRUE,"Super Power","2019-08-07",2019
"Targeting of Ukrainian government entities",2019-11-25,"Gamaredon","Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",NA,NA,NA,"Espionage",NA,"   ","   ",FALSE,"NA","2019-11-25",2019
"Targeting of universities' maritime military secrets",2019-03-05,"Believed to be the work of Leviathan.","Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.",NA,"University of Hawaii, University of Washington, Massachusetts Institute of Technology , Pennsylvania State University, Duke University","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-03-05",2019
"Targeting of a U.S. presidential campaign",2019-10-04,"Believed to be the work of Phosphoros, also known as APT 35","A threat actor targeted the email accounts of an unnamed U.S. presidential campaign, current and former U.S. officials and journalists, and others. During a thirty-day period in August and September, Microsoft observed more than 2,700 attempts to identify the emails of specific customers and 241 hacks.  Four accounts were compromised, though not those connected to the presidential campaign or the officials. A threat actor linked to the Iranian government unsuccessfully attempted to break into President Donald J. Trump's reelection campaign, according to sources familiar with the incident.",NA,"An unnamed U.S. presidential campaign","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2019-10-04",2019
"Targeting of U.S. manufacturing group",2019-11-13,"Government of China","Chinese government hackers attacked the National Association of Manufacturers to steal information that might be useful in U.S.-China trade negotiations.",NA,"National Association of Manufacturers","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2019-11-13",2019
"Targeting of U.S. government and private entities and other victims",2019-11-13,"APT 33","The Iran-aligned espionage group APT 33 used botnets to launch a campaign against a small number of victims in the public and private sectors in the United States, Asia, and the Middle East.",NA,"U.S. government,","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2019-11-13",2019
"Attacks in East and Southeast Asia",2019-10-03,"PKplug","Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.",NA,NA,"China","Espionage",NA,"   ","   ",FALSE,"Super Power","2019-10-03",2019
"Compromise of Bahraini government agencies and critical infrastructure",2019-08-07,NA,"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",NA,"Bahrain","Iran (Islamic Republic of)","Sabotage","Government","   ","   ",TRUE,"Middle Power","2019-08-07",2019
"Targeting of Ukrainian government entities",2019-11-25,"Gamaredon","Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",NA,NA,NA,"Espionage",NA,"   ","   ",FALSE,"NA","2019-11-25",2019
"Whitefly",2019-03-06,"Believed to be behind the Singapore health-care breach in July 2018.","This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",NA,"Singapore, Russia, United Kingdom",NA,NA,"Government","   ","   ",TRUE,"NA","2019-03-06",2019
"Targeting of Indian space agency",2019-11-07,"The Lazarus Group","North Korean hackers attacked the Indian Space Research Organization as part of a broader assault on India’s government agencies.",NA,"Indian Space Research Organization","Korea (Democratic People's Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2019-11-07",2019
"Attack of  Japanese companies with links to China",2019-11-29,"Bronze Butler","China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.",NA,"Japanese organizations with subsidiaries in China","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2019-11-29",2019
"Attack on U.S. presidential campaign government officials, journalists, and prominent expatriate Iranians",2019-10-04,"Phosphorus","Iranian threat actor Phosphorus attacked 241 email accounts associated with a U.S. presidential campaign government officials, and journalists, and prominent expatriate Iranians.",NA,"A U.S. presidential campaign, government officials, journalists, and prominent expatriate Iranians","Iran (Islamic Republic of)","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2019-10-04",2019
"Targeting of international sports federations",2018-01-12,"Believed to be the work of APT 28","A threat actor targeted international sports organizations in Western Europe in the run-up to the International Olympic Committee’s banning Russian athletes from participating in the 2018 Winter Olympics in South Korea.",NA,"European Ice Hockey Federation, International Ski Federation, International Biathlon Union, International Bobsleigh and Skeleton Federation, International Luge Federation","Russian Federation","Espionage","Civil society","   ","   ",TRUE,"Super Power","2018-01-12",2018
"Compromise of a U.S. Navy contractor",2018-06-08,NA,"A threat actor compromises the networks of a contractor for the U.S. Navy, exfiltrating 614 gigabytes of sensitive information, including data related to a new U.S. anti-ship missile and submarine communications systems.",NA,"United States","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-06-08",2018
"Targeting of AMC Theatres",2018-09-06,"Believed to be the work of Lazarus Group","A threat actor targeted U.S. movie theater chain AMC Theatres in 2014 using spear-phishing techniques. The U.S. Department of Justice alleges that the incident was related to the chain's screenings of The Interview, a movie depicting the assassination of North Korean leader Kim Jong-un.","Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and","AMC Theatres","Korea (Democratic People's Republic of)","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and",FALSE,"Middle Power","2018-09-06",2018
